UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
29,27408,2927408,2927408005021,11636.00004482269,99.67023960271035,90.91140047603403,99.48947671291535,96.08951610935037,96.60686180650373,100.0000005537004,7.114037016435759,15.91839284956222,63.50808583811158,44.56377717433497,3.939434213680215,66.52159877703525,84.95266032405198
29,27408,2927408,2927408005022,9024.999996185303,99.59090925403871,96.2742919975426,99.59090925403871,98.98679240723141,99.50529339839704,99.99999972642399,4.743639170192182,13.09550666483119,68.9980664930772,53.23568100284319,8.797712397063151,68.1216749973828,84.59972338750958
29,27408,2927408,2927408005023,8944.000009894371,99.42878534639021,96.9217868972919,99.05289517118945,88.10516886369442,89.33968576311599,99.75789029704174,4.707043104281183,12.74153358899639,69.05637330964964,48.3948254295683,5.22298902797047,68.26745942635171,89.61741867824458
29,27408,2927408,2927408005024,14854.00001525879,99.45948139647953,98.57208302128129,99.1383446205873,90.05011012777686,91.51717519271187,99.5329647383187,8.841312665026635,18.55579115799628,49.13295037986245,31.24362527742051,2.268225542502478,65.76382354833186,77.93697966262698
29,27408,2927408,2927408005025,22042.99994850159,99.39356687827967,96.87199236941524,99.06025292002596,96.58252892550081,96.77525871084072,99.68774537555873,6.285535881761461,15.79579944955185,63.64278543769615,45.78352586686378,3.560831595677882,66.68689172729501,86.29504123236984
29,27408,2927408,2927408005026,10661.00000882149,99.58760290028295,95.76641207822831,99.41583446779987,95.53915698634228,96.46454708272358,99.86280838347739,7.351233966619475,13.70463572820881,66.24176709447056,49.48943015479017,8.516291814157739,67.39532459287148,76.38605448883027
29,27408,2927408,2927408005027,1872.000001549721,96.59456717199646,75.84176260279492,96.38831201591529,1.470739499200135,12.30730569222942,99.06040260684676,4.537642124341801,10.57289284071885,29.17250921600498,12.39788975799456,.5231883667875081,57.91324114252347,87.51009427942336
29,27408,2927408,2927408005028,9168.000029563904,100.0000006926712,99.72802881966345,99.77123513235711,94.3526380637195,99.69543399638496,100.0000006926712,1.680854370351881,4.677944630384445,89.92504726847983,82.92697509095888,44.21445532279904,71.30481187923579,95.7655782578513
29,27408,2927408,2927408005029,38010.99995660782,99.67998435313348,97.557381381921,99.01017797528766,89.67100927693537,94.30265495466301,99.52471435826737,4.094912552682217,10.37533263879595,70.94609551713802,56.06970773587818,18.93439973064233,70.2406946948031,83.98687487933785
29,27408,2927408,2927408005030,13356.00000572205,99.99999993888196,98.73090595647227,99.53269122343045,98.93668190125027,99.0899898322823,99.70966136024799,6.369880426791497,13.98705354367848,71.3802963236958,56.11979953173432,7.847809411759954,62.8650307218777,81.32905304955784
29,27408,2927408,2927408005031,15949.00002908707,99.44489217014052,94.66775884502567,99.0612743247766,97.71318389684893,97.87266833591275,98.83638705941848,6.024601141689345,11.96232161892112,66.41705166548491,47.75232502142899,4.930696423980407,64.39657384325983,86.43265920691192
29,27408,2927408,2927408005032,22446.99998807907,99.30038969032466,96.74496555526275,98.45880963257514,90.4363273672061,93.28745800594334,98.69505807873793,5.799269967246801,15.12293258710997,62.82608946348773,46.70433744904585,6.462409763480537,66.61117512667261,86.61565880756825
29,27408,2927408,2927408005033,8793.99998998642,99.99999970168574,96.33237958041718,99.52783000626368,81.10939375910675,83.18109314859612,99.40723074105335,8.118972186639439,15.47809604453505,48.01731935658609,29.25850431638537,1.365657587302849,63.89418582730286,78.10701723210514
29,27408,2927408,2927408005034,14194.00005102158,99.99999912979547,98.31796095531899,99.99999912979547,91.29044419678394,91.93529949116055,99.87799562804867,2.445438315044157,12.19612858403707,73.15516377275344,57.18832107668277,14.1832121706102,71.5940221096389,85.26867674663663
29,27408,2927408,2927408005035,6640.99999499321,99.60874026292004,98.27079998794943,99.3444740655832,97.93272021925077,99.27737475954928,99.20928835053928,2.623681776458398,8.468103682389483,83.29364749515662,72.14870204334147,26.35942906781565,64.50384996787761,86.16760824806988
29,27408,2927408,2927408005036,9063.000026941299,99.71436503183213,94.01478673171368,98.82657885391382,98.12019886521739,98.67413444517297,99.84217214005184,4.453142575221136,11.46341957355617,71.33018195454497,57.75637121259933,11.53580102836713,71.09639548398263,83.8770056318026
29,27408,2927408,2927408005037,15686.99999237061,97.4395337398164,88.22639353747945,95.71033579995856,49.00988441077061,57.16086911561433,97.63677236624062,8.324531157268211,18.33726747718174,48.86361660901457,28.47866045776755,1.408065360737965,60.64750053337775,75.84520461969078
29,27408,2927408,2927408005038,18964.0000295639,98.18385678809136,94.49551138095558,97.81589243211783,84.75106451369356,89.2671461799182,99.06256264657713,7.220829490688629,17.14932415925432,52.98993712349329,35.45907531224657,2.841036475729197,63.32945264221053,87.22288957796991
29,27408,2927408,2927408005039,8155.999982357025,99.26638384495163,94.10034688335145,97.97957739938283,88.95625545555959,89.76632815465564,96.70862384518841,6.97511888720328,11.60217765718699,56.30141596702742,39.26119299067068,2.874144539237022,67.86555521175615,86.25789609504864
29,27408,2927408,2927408005040,19781.99999523163,98.95279284974094,94.50899662624579,98.59495231357869,83.98296941595618,87.55571022920776,97.33824875729624,6.457072147168219,17.14576900994871,58.98203826218378,40.38656191260088,4.149989696452394,62.90487394435331,86.55713920888957
29,27408,2927408,2927408005041,25003.99992895126,99.58036391035421,96.52845554082887,99.40832289139507,94.75827978894813,95.85720560717164,99.10289292311063,4.97209078312153,11.95226100026048,61.54342669178732,43.96581375476671,8.056602271972224,70.86318210640457,91.36223099194467
29,27408,2927408,2927408005042,11291.00002360344,99.29163788474398,94.38471800094703,97.35739841853501,88.68966631416697,91.5309918607818,97.89862156758318,7.024858657678124,16.27710165957978,56.51050806336571,39.23799838812556,2.992506854934618,69.45698958443245,92.45397076010704
29,27408,2927408,2927408005043,10612.00002980232,99.32948608184233,96.82886095251888,98.7907336326316,89.62103115045466,96.71554581727833,99.1331662517041,3.701191203435883,7.665297226049006,80.51915933610871,70.23148830921855,38.46824722422753,68.05117218900705,94.2178962752223
29,27408,2927408,2927408005044,11506.99999284744,99.99999756546458,97.8224735459662,99.86041211377596,71.68070926782093,78.33844005581341,99.4592463815934,8.739925562258577,15.61377612815704,46.23388466752658,33.66857955406886,2.750268974341452,60.97873276448809,73.80451370263472
29,27408,2927408,2927408005045,31002.0000371933,99.99999815772753,97.76820362603758,99.9263842619257,99.49579449894372,99.6273980854312,99.94233965117019,.1625972392503172,5.093264247989282,93.99681194627192,89.54187316994648,64.123057803954,67.16192470630631,95.33509574830532
29,27408,2927408,2927408005046,21552.99997520447,99.33599591895472,89.15518822905142,98.59617326001171,89.75308365188539,91.94897171109915,98.24552011850756,8.080814708955586,15.39482570515247,58.79815772786969,39.82596927962732,3.723942543729208,65.96314990456449,86.3563158782199
29,27408,2927408,2927408005047,9534.000006914139,100.0000002270099,100.0000002270099,99.54387416946702,99.52207654132508,100.0000002270099,100.0000002270099,.9478005347773433,7.195012300508097,89.66370056150481,78.5844016529154,47.16781620081747,70.18660937028471,86.8690743111074
29,27408,2927408,2927408005048,14882.99998641014,99.91518009337597,97.08979013958015,99.6525751601439,99.61100123473443,99.87761105294339,99.74856708431616,4.977950666216202,13.26748305000365,55.16114834099426,37.1370303852018,3.715547654428519,70.67651382240001,83.89556263573468
29,27408,2927408,2927408005049,16522.99997591972,99.55581772082951,97.49753263022285,99.49107613938395,96.75135289144237,97.43104389926884,99.3769609980518,6.0598796029808,15.06481464894023,66.08280934742652,49.9513398099225,5.124913257895969,63.83942427637521,82.15951251331717
29,27408,2927408,2927408005050,16416.0000500679,99.70518426853232,98.09614160913043,99.20001683640294,91.07632832601666,93.47826777375303,99.6184699179139,8.824053680291399,16.50673022668343,59.8788227289333,43.5399994807085,4.273340752115473,70.28647420665948,88.76341595314443
29,27408,2927408,2927408005051,8378.99995136261,99.69781743129715,95.15728389378637,99.69781743129715,84.68214848544449,85.6384702725336,99.39341170247644,7.135572598781437,14.23654525424354,50.47659183037467,31.83469039504416,1.555128756444901,70.06225266377442,81.59962203353643
29,27408,2927408,2927408005052,8841.999979972839,99.65599008719437,96.04025896987878,98.84538032929413,88.38888746104203,89.23810498672538,99.33636985369958,1.543796819169074,11.12982060294598,80.29530966887251,67.99039349425584,20.52931698272005,72.518294150359,85.75367899611592
29,27408,2927408,2927408005053,16997.99999666214,98.79364830558188,90.0071918789763,98.1806728115771,93.30547644640319,93.66499406169169,98.2356027001515,6.857823766767979,17.56927694950718,51.80893936922075,35.74522287526634,4.292070269002579,72.5337036565179,84.68862583395094
29,27408,2927408,2927408005054,8580.000005483627,99.53620509186294,89.45594239921775,98.97394125291612,72.66565163736232,81.38535897596739,99.99999993888196,6.139896064996719,14.67252773582004,60.135019547306,45.71869259525556,10.72572049451992,73.96929525129963,84.68883624300361
29,27408,2927408,2927408005055,8244.000009059906,100.0000002561137,99.01541371364146,99.76197795476764,91.59188428311609,96.27311358926818,99.39323279540986,2.935679524671286,15.59123795595951,64.87867885443848,46.71581079310272,3.25030627718661,68.52659597934689,87.70034592598677
29,27408,2927408,2927408005056,10058.99999928474,99.99999763676897,98.10378780821338,99.99999763676897,95.5363757442683,95.5363757442683,98.25112683465704,7.603074755752459,12.97201630659401,63.5237910944852,44.4071260993951,5.413066114124376,64.98193121224176,82.25118923000991
29,27408,2927408,2927408005057,9220.000002861023,99.5525570026075,93.26868190182722,99.0411111524736,73.57781377140782,80.57085259570158,99.71694603082142,4.054570305015659,10.9319647832308,78.00471106893383,67.30257116141729,19.64273066841997,77.65488099248614,76.92263815551996
29,27408,2927408,2927408005058,11310.99996948242,99.26780591486022,96.062644245103,99.26780591486022,69.26326099783182,80.14747056877241,99.26568575901911,4.920209490228444,12.34296764014289,56.73733078292571,37.07976132864133,3.632058808580041,69.93651753873564,89.23924192786217
29,27408,2927408,2927408005059,10914.00005531311,99.99999897554517,99.99999897554517,98.58998210402206,99.39387775957584,99.99999897554517,99.59165218751878,.2260409528389573,4.17974655283615,93.39005767251365,89.32349917595275,61.63211244856939,62.03247086959891,87.02562227845192
29,27408,2927408,2927408005060,13307.99999761581,99.86538756929804,99.72683813248295,99.72240190545563,97.62074447062332,99.19007716525812,99.67744204041082,2.021254424471408,8.432116959011182,83.82814953511115,72.83872728003189,32.95024781255051,69.44423973036464,92.94077842496336
29,27408,2927408,2927408005061,10091.00001764297,99.49268810742069,94.6175438904902,99.24360325385351,92.36931346240453,93.29475300037302,99.64913343719672,5.193390979547985,19.56949649902526,60.93067343754228,43.17972449644003,2.669697726378217,65.23996482719667,91.0728799412027
29,27408,2927408,2927408005062,15486.99994301796,99.87315032049082,99.22778537147678,99.74341340712272,99.470283446135,99.7454420721624,98.3818405715283,3.268997539998963,13.73197990615154,77.3893390854937,65.07599342003232,14.55959334489307,64.56675108202035,92.73465815931559
